tipo_revision,hoja,fila,codigo_producto,producto,sede,campo,valor_original,valor_propuesto,motivo,accion_requerida
codigo_faltante,Inventario Insumo,25,INS-AUTO-022,GUANTES ESTERILES 6.5,,codigo,,INS-AUTO-022,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Insumo,25,INS-AUTO-022,GUANTES ESTERILES 6.5,,presentacion/unidad_dispensacion,GUANTES ESTERILES 6.5,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_vacia,Inventario Insumo,25,INS-AUTO-022,GUANTES ESTERILES 6.5,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
unidad_dispensacion,Inventario Insumo,26,13B,HILO DE SUTURA NYLON 2-0,,presentacion/unidad_dispensacion,HILO DE SUTURA NYLON 2-0,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
codigo_faltante,Inventario Insumo,27,INS-AUTO-024,HILO DE SUTURA NYLON 3-0,,codigo,,INS-AUTO-024,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Insumo,27,INS-AUTO-024,HILO DE SUTURA NYLON 3-0,,presentacion/unidad_dispensacion,HILO DE SUTURA NYLON 3-0,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_vacia,Inventario Insumo,27,INS-AUTO-024,HILO DE SUTURA NYLON 3-0,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
codigo_faltante,Inventario Insumo,28,INS-AUTO-025,HILO DE SUTURA VICRIL 2-0,,codigo,,INS-AUTO-025,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Insumo,28,INS-AUTO-025,HILO DE SUTURA VICRIL 2-0,,presentacion/unidad_dispensacion,HILO DE SUTURA VICRIL 2-0,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_vacia,Inventario Insumo,28,INS-AUTO-025,HILO DE SUTURA VICRIL 2-0,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
codigo_faltante,Inventario Insumo,29,INS-AUTO-026,HILO DE SUTURA SEDA 4-0,,codigo,,INS-AUTO-026,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Insumo,29,INS-AUTO-026,HILO DE SUTURA SEDA 4-0,,presentacion/unidad_dispensacion,HILO DE SUTURA SEDA 4-0,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_vacia,Inventario Insumo,29,INS-AUTO-026,HILO DE SUTURA SEDA 4-0,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
codigo_faltante,Inventario Insumo,31,INS-AUTO-028,HOJAS DE BISTURY,,codigo,,INS-AUTO-028,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Insumo,31,INS-AUTO-028,HOJAS DE BISTURY,,presentacion/unidad_dispensacion,HOJAS DE BISTURY,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_vacia,Inventario Insumo,31,INS-AUTO-028,HOJAS DE BISTURY,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
unidad_dispensacion,Inventario Insumo,32,15B,JERINGA DE 1 CC,,presentacion/unidad_dispensacion,JERINGA DE 1 CC,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Insumo,33,16B,JERINGA POMEROY,,presentacion/unidad_dispensacion,JERINGA POMEROY,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
codigo_faltante,Inventario Insumo,34,INS-AUTO-031,JERINGAS DE 10cc CAJA - 100 UNIDADES,,codigo,,INS-AUTO-031,No existe código original.,Asignar el código institucional definitivo.
contenido_presentacion,Inventario Insumo,34,INS-AUTO-031,JERINGAS DE 10cc CAJA - 100 UNIDADES,,contenido_por_presentacion,JERINGAS DE 10cc CAJA - 100 UNIDADES,100,Inventario expresado en caja con contenido interno; la atención probablemente use unidades internas.,Confirmar unidad de inventario y conversión antes de multiplicar existencias.
codigo_faltante,Inventario Insumo,35,INS-AUTO-032,JERINGAS DE 3cc CAJA - 100 UNIDADES,,codigo,,INS-AUTO-032,No existe código original.,Asignar el código institucional definitivo.
contenido_presentacion,Inventario Insumo,35,INS-AUTO-032,JERINGAS DE 3cc CAJA - 100 UNIDADES,,contenido_por_presentacion,JERINGAS DE 3cc CAJA - 100 UNIDADES,100,Inventario expresado en caja con contenido interno; la atención probablemente use unidades internas.,Confirmar unidad de inventario y conversión antes de multiplicar existencias.
unidad_dispensacion,Inventario Insumo,37,18B,LANCETAS PARA GLUCÓMETRO,,presentacion/unidad_dispensacion,LANCETAS PARA GLUCÓMETRO,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Insumo,39,20B,MASCARILLA PARA NEBULIZAR,,presentacion/unidad_dispensacion,MASCARILLA PARA NEBULIZAR,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Insumo,40,21B,MASCARILLAS CON RESERVORIO,,presentacion/unidad_dispensacion,MASCARILLAS CON RESERVORIO,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_ambigua,Inventario Insumo,40,21B,MASCARILLAS CON RESERVORIO,Z3,existencia_actual,En uso,,“En uso” no incluye cantidad; no se asume una unidad.,Indicar la cantidad disponible.
unidad_dispensacion,Inventario Insumo,41,22B,MICROPORE 1 PULGADA,,presentacion/unidad_dispensacion,MICROPORE 1 PULGADA,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Insumo,42,23B,MICROPORE 3 PULGADAS,,presentacion/unidad_dispensacion,MICROPORE 3 PULGADAS,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Insumo,43,24B,PIEZA DE GASA,,presentacion/unidad_dispensacion,PIEZA DE GASA,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_ambigua,Inventario Insumo,43,24B,PIEZA DE GASA,Z3,existencia_actual,En uso,,“En uso” no incluye cantidad; no se asume una unidad.,Indicar la cantidad disponible.
unidad_dispensacion,Inventario Insumo,44,25B,SOL. HARTMAN 500ML,,presentacion/unidad_dispensacion,SOL. HARTMAN 500ML,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Insumo,45,26B,SOL. SN 500ML,,presentacion/unidad_dispensacion,SOL. SN 500ML,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
codigo_faltante,Inventario Insumo,46,INS-AUTO-043,SOL. SSN 100ML,,codigo,,INS-AUTO-043,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Insumo,46,INS-AUTO-043,SOL. SSN 100ML,,presentacion/unidad_dispensacion,SOL. SSN 100ML,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Insumo,47,27B,STOPPER,,presentacion/unidad_dispensacion,STOPPER,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Insumo,48,28B,TIJERA PARA CORTAR PUNTOS DE SUTURA 4.5,,presentacion/unidad_dispensacion,TIJERA PARA CORTAR PUNTOS DE SUTURA 4.5,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_ambigua,Inventario Insumo,48,28B,TIJERA PARA CORTAR PUNTOS DE SUTURA 4.5,Z3,existencia_actual,En uso,,“En uso” no incluye cantidad; no se asume una unidad.,Indicar la cantidad disponible.
unidad_dispensacion,Inventario Insumo,49,29B,TIRAS DE GLUCÓMETRO NIPRO PREMIER,,presentacion/unidad_dispensacion,TIRAS DE GLUCÓMETRO NIPRO PREMIER,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_vacia,Inventario Insumo,49,29B,TIRAS DE GLUCÓMETRO NIPRO PREMIER,Z3,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
unidad_dispensacion,Inventario Insumo,50,30B,TIRAS DE GLUCÓMETRO ON CALL,,presentacion/unidad_dispensacion,TIRAS DE GLUCÓMETRO ON CALL,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Insumo,51,31B,VENDAS DE GASA DE 2 PULGADAS,,presentacion/unidad_dispensacion,VENDAS DE GASA DE 2 PULGADAS,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Insumo,52,32B,VENDAS ELASTICAS 2 PULGADAS,,presentacion/unidad_dispensacion,VENDAS ELASTICAS 2 PULGADAS,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Insumo,53,33B,VENDAS ELASTICAS 3 PULGADAS,,presentacion/unidad_dispensacion,VENDAS ELASTICAS 3 PULGADAS,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Insumo,54,34B,VENDAS ELASTICAS 4 PULGADAS,,presentacion/unidad_dispensacion,VENDAS ELASTICAS 4 PULGADAS,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Insumo,55,35B,VENOSETH,,presentacion/unidad_dispensacion,VENOSETH,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
otro,Inventario Insumo,56,36B,,,descripcion_producto,,,"Fila con datos o código, pero sin descripción.",Completar la descripción o confirmar su exclusión lógica.
otro,Inventario Insumo,57,37B,,,descripcion_producto,,,"Fila con datos o código, pero sin descripción.",Completar la descripción o confirmar su exclusión lógica.
otro,Inventario Insumo,58,38B,,,descripcion_producto,,,"Fila con datos o código, pero sin descripción.",Completar la descripción o confirmar su exclusión lógica.
otro,Inventario Insumo,59,39B,,,descripcion_producto,,,"Fila con datos o código, pero sin descripción.",Completar la descripción o confirmar su exclusión lógica.
otro,Inventario Insumo,60,40B,,,descripcion_producto,,,"Fila con datos o código, pero sin descripción.",Completar la descripción o confirmar su exclusión lógica.
otro,Inventario Insumo,61,41B,,,descripcion_producto,,,"Fila con datos o código, pero sin descripción.",Completar la descripción o confirmar su exclusión lógica.
otro,Inventario Insumo,62,42B,,,descripcion_producto,,,"Fila con datos o código, pero sin descripción.",Completar la descripción o confirmar su exclusión lógica.
otro,Inventario Insumo,63,43B,,,descripcion_producto,,,"Fila con datos o código, pero sin descripción.",Completar la descripción o confirmar su exclusión lógica.
otro,Inventario Insumo,64,44B,,,descripcion_producto,,,"Fila con datos o código, pero sin descripción.",Completar la descripción o confirmar su exclusión lógica.
otro,Inventario Insumo,65,45B,,,descripcion_producto,,,"Fila con datos o código, pero sin descripción.",Completar la descripción o confirmar su exclusión lógica.
otro,Inventario Insumo,66,46B,,,descripcion_producto,,,"Fila con datos o código, pero sin descripción.",Completar la descripción o confirmar su exclusión lógica.
otro,Inventario Insumo,67,47B,,,descripcion_producto,,,"Fila con datos o código, pero sin descripción.",Completar la descripción o confirmar su exclusión lógica.
otro,Inventario Insumo,68,48B,,,descripcion_producto,,,"Fila con datos o código, pero sin descripción.",Completar la descripción o confirmar su exclusión lógica.
otro,Inventario Insumo,69,49B,,,descripcion_producto,,,"Fila con datos o código, pero sin descripción.",Completar la descripción o confirmar su exclusión lógica.
otro,Inventario Insumo,70,50B,,,descripcion_producto,,,"Fila con datos o código, pero sin descripción.",Completar la descripción o confirmar su exclusión lógica.
