codigo_producto,codigo_sede,existencia_actual,existencia_minima,origen_minimo,porcentaje_minimo_aplicado,valor_original,hoja_origen,fila_origen,interpretacion,requiere_revision
MED-AUTO-076,Z9,,,calculado_20_por_ciento,20,,Inventario Medicamento,78,Valor vacío; no se asume cero. Existencia tomada definitivamente de Stock para el semestre Z9.,true
MED-AUTO-076,Z3,32,7,calculado_20_por_ciento,20,32,Inventario Medicamento,78,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
1B,Z9,1,1,excel,0,1 en uso,Inventario Insumo,4,Cantidad numérica en uso contada como disponible según decisión institucional. Existencia tomada definitivamente de Stock para el semestre Z9.,false
1B,Z3,2,1,excel,0,2,Inventario Insumo,4,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
2B,Z9,0,1,excel,0,0,Inventario Insumo,5,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
2B,Z3,114,1,excel,0,114,Inventario Insumo,5,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
3B,Z9,117,1,excel,0,117,Inventario Insumo,6,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
3B,Z3,125,1,excel,0,125,Inventario Insumo,6,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
4B,Z9,3,1,excel,0,3 en uso,Inventario Insumo,7,Cantidad numérica en uso contada como disponible según decisión institucional. Existencia tomada definitivamente de Stock para el semestre Z9.,false
4B,Z3,1,1,excel,0,1,Inventario Insumo,7,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
INS-AUTO-005,Z9,,,calculado_20_por_ciento,20,,Inventario Insumo,8,Valor vacío; no se asume cero. Existencia tomada definitivamente de Stock para el semestre Z9.,true
INS-AUTO-005,Z3,1,1,calculado_20_por_ciento,20,1,Inventario Insumo,8,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
5B,Z9,2,2,excel,0,2 en uso,Inventario Insumo,9,Cantidad numérica en uso contada como disponible según decisión institucional. Existencia tomada definitivamente de Stock para el semestre Z9.,false
5B,Z3,1,2,excel,0,1,Inventario Insumo,9,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
6B,Z9,5,10,excel,0,5,Inventario Insumo,10,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
6B,Z3,4,10,excel,0,4,Inventario Insumo,10,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
7B,Z9,14,25,excel,0,14,Inventario Insumo,11,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
7B,Z3,42,25,excel,0,42,Inventario Insumo,11,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
INS-AUTO-009,Z9,19,25,excel,0,19,Inventario Insumo,12,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
INS-AUTO-009,Z3,21,25,excel,0,21,Inventario Insumo,12,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
INS-AUTO-010,Z9,19,10,excel,0,19,Inventario Insumo,13,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
INS-AUTO-010,Z3,25,10,excel,0,25,Inventario Insumo,13,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
INS-AUTO-011,Z9,2,3,excel,0,2 en uso,Inventario Insumo,14,Cantidad numérica en uso contada como disponible según decisión institucional. Existencia tomada definitivamente de Stock para el semestre Z9.,false
INS-AUTO-011,Z3,3,3,excel,0,3,Inventario Insumo,14,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
8B,Z9,2,4,excel,0,2 en uso,Inventario Insumo,15,Cantidad numérica en uso contada como disponible según decisión institucional. Existencia tomada definitivamente de Stock para el semestre Z9.,false
8B,Z3,1,4,excel,0,1,Inventario Insumo,15,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
INS-AUTO-013,Z9,11,3,calculado_20_por_ciento,20,11,Inventario Insumo,16,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
INS-AUTO-013,Z3,3,1,calculado_20_por_ciento,20,3,Inventario Insumo,16,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
9B,Z9,0,2,excel,0,0,Inventario Insumo,17,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
9B,Z3,,2,excel,0,En uso,Inventario Insumo,17,“En uso” no incluye cantidad; no se asume una unidad. Existencia tomada definitivamente de Stock para el semestre Z3.,true
10B,Z9,2,1,calculado_20_por_ciento,20,2 en uso,Inventario Insumo,18,Cantidad numérica en uso contada como disponible según decisión institucional. Existencia tomada definitivamente de Stock para el semestre Z9.,false
10B,Z3,2,1,calculado_20_por_ciento,20,1N y 1 en uso,Inventario Insumo,18,Suma aprobada de unidades N y unidades en uso. Existencia tomada definitivamente de Stock para el semestre Z3.,false
11B,Z9,2,1,calculado_20_por_ciento,20,2 en uso,Inventario Insumo,19,Cantidad numérica en uso contada como disponible según decisión institucional. Existencia tomada definitivamente de Stock para el semestre Z9.,false
11B,Z3,1,1,calculado_20_por_ciento,20,1 en uso,Inventario Insumo,19,Cantidad numérica en uso contada como disponible según decisión institucional. Existencia tomada definitivamente de Stock para el semestre Z3.,false
INS-AUTO-017,Z9,0,2,excel,0,0,Inventario Insumo,20,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
INS-AUTO-017,Z3,2,2,excel,0,1 N y 1 en uso,Inventario Insumo,20,Suma aprobada de unidades N y unidades en uso. Existencia tomada definitivamente de Stock para el semestre Z3.,false
INS-AUTO-018,Z9,,,calculado_20_por_ciento,20,,Inventario Insumo,21,Valor vacío; no se asume cero. Existencia tomada definitivamente de Stock para el semestre Z9.,true
INS-AUTO-018,Z3,2,1,calculado_20_por_ciento,20,1N y 1 en uso,Inventario Insumo,21,Suma aprobada de unidades N y unidades en uso. Existencia tomada definitivamente de Stock para el semestre Z3.,false
12B,Z9,15,10,excel,0,15,Inventario Insumo,22,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
12B,Z3,32,10,excel,0,32,Inventario Insumo,22,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
INS-AUTO-020,Z9,17,25,excel,0,17,Inventario Insumo,23,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
INS-AUTO-020,Z3,26,25,excel,0,26,Inventario Insumo,23,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
INS-AUTO-021,Z9,10,20,excel,0,10,Inventario Insumo,24,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
INS-AUTO-021,Z3,18,20,excel,0,18,Inventario Insumo,24,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
INS-AUTO-022,Z9,,,calculado_20_por_ciento,20,,Inventario Insumo,25,Valor vacío; no se asume cero. Existencia tomada definitivamente de Stock para el semestre Z9.,true
INS-AUTO-022,Z3,38,8,calculado_20_por_ciento,20,38,Inventario Insumo,25,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
13B,Z9,6,2,calculado_20_por_ciento,20,6,Inventario Insumo,26,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
13B,Z3,15,3,calculado_20_por_ciento,20,15,Inventario Insumo,26,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
INS-AUTO-024,Z9,,,calculado_20_por_ciento,20,,Inventario Insumo,27,Valor vacío; no se asume cero. Existencia tomada definitivamente de Stock para el semestre Z9.,true
INS-AUTO-024,Z3,7,2,calculado_20_por_ciento,20,7,Inventario Insumo,27,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
INS-AUTO-025,Z9,,,calculado_20_por_ciento,20,,Inventario Insumo,28,Valor vacío; no se asume cero. Existencia tomada definitivamente de Stock para el semestre Z9.,true
INS-AUTO-025,Z3,3,1,calculado_20_por_ciento,20,3,Inventario Insumo,28,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
INS-AUTO-026,Z9,,,calculado_20_por_ciento,20,,Inventario Insumo,29,Valor vacío; no se asume cero. Existencia tomada definitivamente de Stock para el semestre Z9.,true
INS-AUTO-026,Z3,10,2,calculado_20_por_ciento,20,10,Inventario Insumo,29,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
14B,Z9,200,300,excel,0,200,Inventario Insumo,30,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
14B,Z3,2,300,excel,0,1 N y 1 en uso,Inventario Insumo,30,Suma aprobada de unidades N y unidades en uso. Existencia tomada definitivamente de Stock para el semestre Z3.,false
INS-AUTO-028,Z9,,,calculado_20_por_ciento,20,,Inventario Insumo,31,Valor vacío; no se asume cero. Existencia tomada definitivamente de Stock para el semestre Z9.,true
INS-AUTO-028,Z3,13,3,calculado_20_por_ciento,20,13,Inventario Insumo,31,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
15B,Z9,105,21,calculado_20_por_ciento,20,105,Inventario Insumo,32,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
15B,Z3,66,14,calculado_20_por_ciento,20,66,Inventario Insumo,32,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
16B,Z9,20,40,excel,0,20,Inventario Insumo,33,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
16B,Z3,17,40,excel,0,17,Inventario Insumo,33,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
INS-AUTO-031,Z9,82,100,excel,0,82,Inventario Insumo,34,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
INS-AUTO-031,Z3,140,100,excel,0,140,Inventario Insumo,34,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
INS-AUTO-032,Z9,22,100,excel,0,22,Inventario Insumo,35,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
INS-AUTO-032,Z3,195,100,excel,0,195,Inventario Insumo,35,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
17B,Z9,139,100,excel,0,139,Inventario Insumo,36,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
17B,Z3,249,100,excel,0,249,Inventario Insumo,36,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
18B,Z9,650,130,calculado_20_por_ciento,20,650,Inventario Insumo,37,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
18B,Z3,194,39,calculado_20_por_ciento,20,194,Inventario Insumo,37,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
19B,Z9,2,1,calculado_20_por_ciento,20,2 en  uso,Inventario Insumo,38,Cantidad numérica en uso contada como disponible según decisión institucional. Existencia tomada definitivamente de Stock para el semestre Z9.,false
19B,Z3,1,1,calculado_20_por_ciento,20,1 en uso,Inventario Insumo,38,Cantidad numérica en uso contada como disponible según decisión institucional. Existencia tomada definitivamente de Stock para el semestre Z3.,false
20B,Z9,4,10,excel,0,4,Inventario Insumo,39,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
20B,Z3,6,10,excel,0,4 N y 2 en uso,Inventario Insumo,39,Suma aprobada de unidades N y unidades en uso. Existencia tomada definitivamente de Stock para el semestre Z3.,false
21B,Z9,0,2,excel,0,0,Inventario Insumo,40,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
21B,Z3,,2,excel,0,En uso,Inventario Insumo,40,“En uso” no incluye cantidad; no se asume una unidad. Existencia tomada definitivamente de Stock para el semestre Z3.,true
22B,Z9,2,6,excel,0,2,Inventario Insumo,41,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
22B,Z3,3,6,excel,0,3,Inventario Insumo,41,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
23B,Z9,0,1,calculado_20_por_ciento,20,0,Inventario Insumo,42,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
23B,Z3,3,1,calculado_20_por_ciento,20,2 N y 1 en uso,Inventario Insumo,42,Suma aprobada de unidades N y unidades en uso. Existencia tomada definitivamente de Stock para el semestre Z3.,false
24B,Z9,1,1,excel,0,1 en uso,Inventario Insumo,43,Cantidad numérica en uso contada como disponible según decisión institucional. Existencia tomada definitivamente de Stock para el semestre Z9.,false
24B,Z3,,1,excel,0,En uso,Inventario Insumo,43,“En uso” no incluye cantidad; no se asume una unidad. Existencia tomada definitivamente de Stock para el semestre Z3.,true
25B,Z9,0,10,excel,0,0,Inventario Insumo,44,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
25B,Z3,6,10,excel,0,6,Inventario Insumo,44,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
26B,Z9,13,5,excel,0,13,Inventario Insumo,45,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
26B,Z3,6,5,excel,0,6,Inventario Insumo,45,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
INS-AUTO-043,Z9,8,40,excel,0,8,Inventario Insumo,46,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
INS-AUTO-043,Z3,7,40,excel,0,7,Inventario Insumo,46,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
27B,Z9,20,20,excel,0,20,Inventario Insumo,47,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
27B,Z3,35,20,excel,0,35,Inventario Insumo,47,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
28B,Z9,0,1,excel,0,0,Inventario Insumo,48,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
28B,Z3,,1,excel,0,En uso,Inventario Insumo,48,“En uso” no incluye cantidad; no se asume una unidad. Existencia tomada definitivamente de Stock para el semestre Z3.,true
29B,Z9,148,30,calculado_20_por_ciento,20,148,Inventario Insumo,49,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
29B,Z3,,,calculado_20_por_ciento,20,,Inventario Insumo,49,Valor vacío; no se asume cero. Existencia tomada definitivamente de Stock para el semestre Z3.,true
30B,Z9,248,50,calculado_20_por_ciento,20,248,Inventario Insumo,50,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
30B,Z3,344,69,calculado_20_por_ciento,20,344,Inventario Insumo,50,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
31B,Z9,6,24,excel,0,6,Inventario Insumo,51,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
31B,Z3,8,24,excel,0,8,Inventario Insumo,51,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
32B,Z9,12,15,excel,0,12,Inventario Insumo,52,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
32B,Z3,22,15,excel,0,22,Inventario Insumo,52,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
33B,Z9,80,95,excel,0,80,Inventario Insumo,53,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
33B,Z3,20,95,excel,0,20,Inventario Insumo,53,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
34B,Z9,0,15,excel,0,0,Inventario Insumo,54,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
34B,Z3,27,15,excel,0,27,Inventario Insumo,54,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
35B,Z9,9,40,excel,0,9,Inventario Insumo,55,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
35B,Z3,17,40,excel,0,17,Inventario Insumo,55,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
